Address,Link,Rent,Suburb,Bedrooms,Car space,Time to Bondi,Time To Manly,Time to Unity,Time to WWF by Transit,Time to Pivotal by Transit
"9/122 Brook Street, Coogee NSW 2034",https://www.domain.com.au/9-122-brook-street-coogee-nsw-2034-14161677,$550,Coogee,2,NO,13,40,22,46,30
"25 Bennett Street, Bondi NSW 2026",https://www.domain.com.au/25-bennett-street-bondi-nsw-2026-14191843,$550,Bondi,2,NO,5,36,18,48,39
"22/232 Rainbow Street, Coogee NSW 2034",https://www.domain.com.au/22-232-rainbow-street-coogee-nsw-2034-14132268,$495,Coogee,2,YES,15,40,22,40,38
"20/50 Carr Street, Coogee NSW 2034",https://www.domain.com.au/20-50-carr-street-coogee-nsw-2034-14193691,$500,Coogee,2,NO,13,40,23,42,31
"5/262a Carrington Road, Coogee NSW 2034",https://www.domain.com.au/5-262a-carrington-road-coogee-nsw-2034-10417917,$500,Coogee,2,NO,13,38,20,44,29
"1/1 Palmerston Avenue, Bronte NSW 2024",https://www.domain.com.au/1-1-palmerston-avenue-bronte-nsw-2024-11839883,$500,Bronte,2,NO,7,38,20,67,39
"10/5 Hastings Parade, Bondi NSW 2026",https://www.domain.com.au/10-5-hastings-parade-bondi-nsw-2026-14009868,$500,Bondi,2,NO,2,39,21,54,39
"2/240 Coogee Bay Road, Coogee NSW 2034",https://www.domain.com.au/2-240-coogee-bay-road-coogee-nsw-2034-14077085,$470,Coogee,2,NO,13,40,23,45,33
"3/2A Brook Street, Coogee NSW 2034",https://www.domain.com.au/3-2a-brook-street-coogee-nsw-2034-14175777,$510,Coogee,2,NO,10,38,21,37,33
"2/13 Cross Street, Bronte NSW 2024",https://www.domain.com.au/2-13-cross-street-bronte-nsw-2024-12184956,$500,Bronte,2,NO,5,37,20,58,49
"1/18 Murray St, Bronte NSW 2024",https://www.domain.com.au/1-18-murray-st-bronte-nsw-2024-11755778,$495,Bronte,2,YES,6,38,20,62,42
"3/236 Rainbow Street, Coogee NSW 2034",https://www.domain.com.au/3-236-rainbow-street-coogee-nsw-2034-14172700,LEAS,Coogee,2,YES,15,40,22,39,38
"6/16 Murray Street, Bronte NSW 2024",https://www.domain.com.au/6-16-murray-street-bronte-nsw-2024-12151289,$495,Bronte,2,YES,6,38,20,62,42
"1/284 Birrell Street, Bondi NSW 2026",https://www.domain.com.au/1-284-birrell-street-bondi-nsw-2026-10218839,$525,Bondi,2,YES,5,36,18,55,29
"10/146 Oberon Street, Coogee NSW 2034",https://www.domain.com.au/10-146-oberon-street-coogee-nsw-2034-14127431,$490,Coogee,2,YES,14,39,22,37,36
"4/108 Bondi Road, Bondi NSW 2026",https://www.domain.com.au/4-108-bondi-road-bondi-nsw-2026-14205285,$495,Bondi,2,NO,5,34,16,44,29
"28/1A Leeton Avenue, Coogee NSW 2034",https://www.domain.com.au/28-1a-leeton-avenue-coogee-nsw-2034-14090455,Cont,Coogee,2,YES,12,39,21,46,35
"1/98 Coogee Bay Road, Coogee NSW 2034",https://www.domain.com.au/1-98-coogee-bay-road-coogee-nsw-2034-10750351,$550,Coogee,2,NO,13,40,22,46,30
"5/29-31 Coogee Street, Coogee NSW 2034",https://www.domain.com.au/5-29-31-coogee-street-coogee-nsw-2034-13672084,$595,Coogee,2,YES,13,37,19,41,28
"2/12 Dudley Street, Coogee NSW 2034",https://www.domain.com.au/2-12-dudley-street-coogee-nsw-2034-13595085,$560,Coogee,2,NO,14,38,21,40,29
"12/31 Byron Street, Coogee NSW 2034",https://www.domain.com.au/12-31-byron-street-coogee-nsw-2034-14209177,$595,Coogee,2,YES,14,40,22,40,29
"12/47 Francis Street, Bondi NSW 2026",https://www.domain.com.au/12-47-francis-street-bondi-nsw-2026-14209569,$600,Bondi,2,NO,2,38,20,54,46
"74 Bream Street, Coogee NSW 2034",https://www.domain.com.au/74-bream-street-coogee-nsw-2034-14166225,$590,Coogee,2,NO,11,39,22,45,29
"4/45 Wilson Street, Freshwater NSW 2096",https://www.domain.com.au/4-45-wilson-street-freshwater-nsw-2096-14201873,$495,Freshwater,2,YES,38,4,25,83,52
"3/135 Sydney Road, Fairlight NSW 2094",https://www.domain.com.au/3-135-sydney-road-fairlight-nsw-2094-14127875,$550,Fairlight,2,NO,34,4,21,65,40
"20/75 Pacific Parade, Dee Why NSW 2099",https://www.domain.com.au/20-75-pacific-parade-dee-why-nsw-2099-11773273,$550,Dee Why,2,YES,42,10,30,89,55
"205/697-701 Pittwater Road, Dee Why NSW 2099",https://www.domain.com.au/205-697-701-pittwater-road-dee-why-nsw-2099-12613986,$560,Dee Why,2,YES,44,13,31,78,46
"2/14 Lagoon View Road, Cromer NSW 2099",https://www.domain.com.au/2-14-lagoon-view-road-cromer-nsw-2099-14196753,Offe,Cromer,3,YES,42,14,29,92,61
"3/17 Brisbane Street, Fairlight NSW 2094",https://www.domain.com.au/3-17-brisbane-street-fairlight-nsw-2094-14175770,For ,Fairlight,2,NO,35,6,22,75,45
"5/5 Ocean View Road, Freshwater NSW 2096",https://www.domain.com.au/5-5-ocean-view-road-freshwater-nsw-2096-14186646,$525,Freshwater,2,YES,39,5,26,84,54
"18/163 Sydney Road, Fairlight NSW 2094",https://www.domain.com.au/18-163-sydney-road-fairlight-nsw-2094-14117533,$550,Fairlight,2,NO,34,5,21,64,39
"2/17 Upper Gilbert Street, Manly NSW 2095",https://www.domain.com.au/2-17-upper-gilbert-street-manly-nsw-2095-14209517,$600,Manly,2,NO,36,4,23,61,47
"1/208 Pittwater Road, Manly NSW 2095",https://www.domain.com.au/1-208-pittwater-road-manly-nsw-2095-14092704,$595,Manly,2,YES,36,2,23,80,42
